,Movie,Year,Time,Genre,Pick,Zach,Amin,Mayes,RT Crit,Crit #,RT Aud,Aud #,Combo,Sprd,Budget,Box Off WW,Cost,TM,Daisy Chain,Guest,P/P,Golden Dumpster,Z,A,M,Carl Weathers Memorial Ass OFF Award,Michael Biehn (Emilio Estevez) Ass ON Award,Louis Pinnock Accent Award,Five Horsemen,Rewatchingtons,"GD Nominees - Scene, Actor, Director or Moment",,,,,
144,Virtuosity,1995,110,Science Fiction Action,M,Phile,Phile,Phile,31%,32,32%,25k +,63%,1%,$30 Mil,$37 Mil,Para +,,,,,,SID 6.7 Custom Nametag,Denzel looks at Fichner and says you chris marasky ass motherfucker,SID emerging from the giant blue egg covered in cum,Denzel Washington as Parker Barnes,Stephen Spinella as Daryl Lindenmeyer,Russell Crowe American Accent,Jargon,,,,,,,
145,Heart Condition,1990,110,Buddy Fantasy Comedy,Z,Phile,Phile,Phobe,10%,10,35%,2500 +,45%,25%,$10 Mil,"$4,134,992",$,,,,,,The Film Bébé Noir!,Moony’s cliffside racist rant leading to his second heart attack,The Hip Hop Bowl - Bowling Alley,Denzel Washington as Napoleon Stone,Jeffrey Meek as John Graham,Mark Lowenthal the Ciao Chow Club waiter,Racism,,,,,,,
146,Fallen,1998,110,Supernatural Thriller,A,Phile,Phile,Spite Phobe,40%,57,72%,50k +,112%,32%,$46 Mil,$25.2 Mil,STARZ,,,,,,James Gandolfini impersonating Azazel,James Gandolfini caressing the bartender,Denzel’s nephew giving his father a black eye,Denzel Washington as John Hobbes,Gabriel Casseus as Art,Christian Aubert as the Linguist,Singing 'Time is On My Side',,,,,,,
147,Man on Fire,2004,111,Action Thriller,G,Phobe,Phobe,Phobe,39%,168,89%,250k +,128%,50%,$60-70 Mil,$130.3 Mil,PCOCK,2/10,,Juju Gotti,Phobe,Miguel grabbing the fuck outta Mariana's ass,"Finger licking, no sauce to be found.",Would you like a drink? - Yes. Jack and Water.,Creasey’s art is death. He’s about to paint his masterpiece.,Denzel Washington as John Creasy,Marc Anthony as Samuel Ramos,Radha Mitchell's surprise Southern Accent,Linda Ronstadt,,,,,,,
148,Green Lantern,2011,111,Superhero,Z,Phobe,Phobe,Phobe,26%,248,45%,100k +,71%,19%,$200 Mil,$219.9 Mil,HBO,5/10,,,,,"I've known you your whole life, seen you naked, think I wouldn’t recognize him because she can’t see his cheek bones?",,The poppy talk explosion flashback,Peter Saarsgard as Hector Hammond,Jon Tenney as Martin Jordan (Hal’s Dad),N/A,Poppy Talk,,,,,,,
149,Venom,2018,111,Superhero,M,Phobe,Phobe,Phile,30%,362,80%,25k +,110%,50%,$116 Mil,$856.1 Mil,STARZ,,,,,,Woody's Hairelson,Drake telling the kids not to silence the girl asking the question,The Lobster Scene - 'It's dead',Woody Harrelson as Carnage,Scott Haze as Treece,Hardy as Venom,Jargon,,,,,,,
150,Hulk,2003,111,Superhero,A,Phobe,Phobe,Phobe,62%,237,29%,250k +,91%,-33%,$137 Mil,$245.4 Mil,$,,,,,,Old iMacs that pivoted,Nick Nolte mocking Bruce and then biting the electrical cable,Glenn blowing himself up with a grenade launcher,Nick Nolte as David Banner,Eric Bana as Bruce Banner,Eric Bana American / Broken Spanish,Poppy Talk,,,,,,,
151,TMNT III,1993,111,Superhero,G,Phile,Phobe,Phobe,19%,31,34%,50k +,53%,15%,$21 Mil,$54.4 Mil,HBO,,,Jason Concepcion,Phobe,Walker coloring beachside while his pirates have target practice,The sheer terror on the faces of the turtles,"""That one is riding reverse cow turtle""",Kappas also being known as anus ball vampires,Elias Koteas as Casey / Whit,Splinter,Splinter,Reference Bukkake,,,,,,,
152,Beerfest,2006,112,Comedy,Z,Phile,Phile,Phile,40%,107,75%,100k +,115%,35%,$17.5 Mil,$20.4 Mil,TBS,0/10,,,,,"Barry’s Ping Pong Paddle confession - ""I’ve been shitting pancakes ever since""",The frog tapping Fink to keep jerking him off,The Germans mocking them at the first beerfest,Jay Chandrasekhar as Barry,Gunter Schlierkamp as Schlemmer,"The Germans (Forte, Faxon, Olsen)",Exposition,,,,,,,
153,Club Dread,2004,112,Comedy Slasher,A,Phile,Phile,Phile,29%,102,44%,50k +,73%,15%,$8.6 Mil,$7.6 Mil,Cinemax,,,,,,Manny & Roy being lotharios by the pool,I think you mean Pina Coladaburg. Lil song I wrote… 7.5 fuckin years before Margaritaville was even on the map! ,Pee-Na-Lope,Bill Paxton as Coconut Pete,Julio Bekhor as Carlos,Jay Chandrasekhar as Putman,Dark & Ominous Tones,,,,,,,
154,The Slammin' Salmon,2009,113,Comedy,M,Phile,Phile,Phile,35%,26,47%,5k +,82%,12%,???,"$60,421",Prime,,,,,,You wouldn't kick in that back door??,Will Forte suffering from shistaphusiasis. I've got it hard.,Buying all the champagne for Roy on a dinner date with a hooker,Michael Clarke Duncan as Cleon Slammin' Salmon,The doctor from the Fracas in Caracas,N/A,Bingo Kazoo,,,,,,,
155,Super Troopers,2001,113,Comedy,G,Phile,Phile,Phile,36%,90,90%,250k +,126%,54%,$1.5 Mil,$23.2 Mil,$,,,Ian Karmel,Phile,The Cat Game - Right about meow.,Desperation is a stinky cologne.,Steve Lemme jerking off to the reflection of lips on a billboard,Dimpus Burger scene,Kevin Heffernan as Rod Farva,James Grace as Handlebar Cop Rando,You fuckers ever been to Mexico??,Shenanigans,,,,,,,
156,Nacho Libre,2006,114,Sports Comedy Drama,M,Phile,Phobe,Phile,40%,166,54%,250k +,94%,14%,$35 Mil,$99.3 Mil,Para +,,,,,,Get that corn outta my face!,Candida’s Secret Tunnels,,Jack Black as Ignacio,Darius Rose as Chancho Leary,Jack Black as Ignacio,Hittin em with the Hessy,,,,,,,
157,Legion,2010,114,Supernatural Action Horror,A,Phile,Phile,Phobe,20%,106,31%,250k +,51%,11%,$26 Mil,$67.9 Mil,HBO,,,,,,"The Immaculate Reception - When Sandra gets shot in the head, fumbles the baby and Jeep makes a diving catch",,,Charles S Dutton as Percy,Lucas Black as Jeep,Kevin Durand as Gabriel,Pop Entertainment Talk,,,,,,,
158,Bad Boys 2,2003,114,Buddy Cop Action Comedy,Z,Phile,Phile,Phile,23%,185,78%,250k +,101%,55%,$130 Mil,$273.3 Mil,$,,,,,,Shake Ya Tailfeather,Mike telling the story about how him and Syd started dating,Intimidating Reggie,Martin Lawrence as Marcus Burnett,Gabrielle Union as Syd,Blondie Dread,Michael Baykakke,,,,,,,
159,The Da Vinci Code,2006,114,Mystery Thriller,G,Phobe,Phobe,Phobe,25%,231,57%,250k +,82%,32%,$125 Mil,$760 Mil,Tubi,3/10,,Jessica Smetana,Phobe,Grandpa Sauniere Eyes Wide Shut sex cult,Grandpa Sauniere Eyes Wide Shut sex cult,Sir Teabag Immaculate Reception of the cryptex,Paul Bettany punching Tom Hanks so hard he farted,Ian McKellen as Sir Teabag,Tom Hanks as Robert Langdon,French Audience at Langdon's Lecture,Flashback Exposition,,,,,,,
160,Semi-Pro,2008,114,Sports Comedy,M,Phile,Phile,Phile,22%,161,38%,250k +,60%,16%,$55 Mil,$43.9 Mil,HBO,,,,,,Invention of the Alley Oop,Jackie reading the introductions,Cuck Jersey,Andy Daly as Dick Pepperfield,Anaheim Amigos running their offense,Vakidis,Announcing Narration,,,,,,,
161,Don't Worry Darling,2022,115,Psychological Thriller,A,Phobe,Phobe,Phobe,38%,330,74%,1k + V,112%,36%,$35 Mil,$86.7 Mil,HBO,,,,,,Chris Pine is hot as fuck,Cockburn telling Pugh that gardening is looking at plants and drinking,Frank hyping Jack up while he dances - Look at this boy dance!,Florence Pugh as Alice,Harry Styles as Jack,Simple Jack’s American Accent,Podtriarchy,,,,,,,
162,Can't Hardly Wait,1998,115,Teen Romantic Comedy,Z,Phile,Phile,Phile,40%,62,63%,50k +,103%,23%,$10 Mil,$25.6 Mil,HBO,,,,,,William playing dramatic music on the piano when the cops show up,"Remy Niscent - ""Never told you but I had the hugest boner and I thought maybe we could work things out!""",Nobody drink the beer! The beer has gone bad!,Seth Green as Kenny Fisher,Lauren Ambrose as Denise,Remy Niscent,Gossipsposition,,,,,,,
,2023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
163,Memory,2022,115,Action Thriller,A,Phile,Phile,Phobe,29%,100,81%,250 + V,110%,52%,$30 Mil,$14 Mil,PRIME,,,,,,Liam Neeson bullet hole flaming dr pepper,Liam Neeson night terrors,Liam telling his brother about the 1969 NBA Draft,Liam Neeson as Alex Lewis,The Sealmans,Anyone's English,Exposition,,,,,,,
164,Taken 3,2014,116,Action Thriller,Z,Phile,Phile,Phile,13%,124,43%,50k +,56%,30%,$48 Mil,$326.4 Mil,IFC / AMC,,,,,,My daughter is my first priority - 90 seconds later crashing into a plane that she's on,Liam hiding under a corpse to camouflage himself before killing someone,The way Forest Whitaker nibbles on a bagel - The bagels were warm,Forest Whitaker as Franck Dotzler,Dougray Scott as Stuart St. John,Andrew Howard as Ugly Statham,Techsposition,,,,,,,
165,Taken 2,2012,116,Action Thriller,M,Phile,Phobe,Phile,22%,174,52%,100k +,74%,30%,$45 Mil,$376.1 Mil,AMC,7/10,,,,,Liam triangulating his position thanks to his daughter throwing grenades and echolocation,"""She will be sold to the lowest brothel in this world. She will be abused by so many men that she’ll be nothing more than a piece of meat that a dog will not have.""",Liam triangulating his position thanks to his daughter throwing grenades and echolocation,Liam Neeson as Bryan Mills,DB Sweeney as Bernie,Rade Serbedzija,Reverse Poppy Talk,,,,,,,
166,Men in Black: International,2019,116,Science Fiction Action Comedy,G,Phobe,Phobe,Phobe,23%,322,66%,10k + V,89%,43%,$110 Mil,$253.9 Mil,Starz,,,Marshall Newhouse,Phobe,Men AND Women in Black,Zach thinking that the Eiffel Tower was a big neuralyzer,H. 12 o'clock. - You're damn right it is!,Nandor’s digitally removed beard,Liam Neeson as High T,Tessa Thompson as Molly,Kayvan Novak as Vungus,Verbal Quicksand,,,,,,,
167,Blacklight (Wildcard Pick),2022,116,Action Thriller,Z,Phile,Phile,Phobe,11%,103,82%,500 + V,93%,71%,$43 Mil,$16 Mil,PRIME,,Liam Neeson,,,,Shot of Dusty and Mira calmly talking as Liam comes ambling up while grimacing.,The look on Dusty's face as he drives the garbage truck away.,Liam staggering down the stairs chasing Dusty. Amblin Entertainment.,Liam Neeson as Travis Block,Gabriella Sengos as Natalie Block,Mel Jarnson as Fake AOC,Poppy Talk,,,,,,,
168,Practical Magic,1998,116,Fantasy Romantic Drama,M,Phobe,Phobe,Phobe,23%,96,73%,100k +,96%,50%,$75 Mil,$68.3 Mil,$,,Aidan Quinn,,,,"Evil cyclists, cool breeze, then truck helen hunting produce man",Sandra Bullock crying - Serbian Misogynist,Old lady accusing Sally of running a placenta bar,Snitch Frog spitting a ring out,Aidan Quinn as Officer Hallett,Goran Visjnic 'Yee-Haw',Voiceover,,,,,,,
169,Speed 2: Cruise Control,1997,117,Action Thriller,Z,Phile,Phobe,Phobe,4%,75,16%,100k +,20%,12%,$110-160 Mil,$164.5 Mil,$,,Sandra Bullock,Billy Gil,Phile,Wakeboarder crashing into the cruise ship in slow motion,"Dante’s commitment to taking photos at all times, even in a crisis",Better find Drew. She can't hear this!,"Dante’s commitment to taking photos at all times, even in a crisis",Willem Dafoe as John Geiger,Jason Patric as Alex Shaw,Maurice’s girlfriend,Camera Shaking,,,,,,,
170,Barb Wire,1996,117,Superhero,A,Phile,Phobe,Phobe,28%,36,14%,25k +,42%,-14%,$9 Mil,$3.8 Mil,Netflix,,Temeura Morrison,,,,Opening Scene 'Wet Strip',Leon Rose's huge bag of porn magazines,Trying to read a blind man’s head movies,Andre Rosey Brown as Big Fatso,Pamela Anderson as Barb Wire,Kidnapped Kid's Mom,Horniness,,,,,,,
171,The Waterboy,1998,118,Sports Comedy,M,Phobe,Phobe,Phile,33%,75,71%,250k +,104%,38%,$23 Mil,$190 Mil,Hulu,,Clint Howard,,,,Kathy Bates dancing in the background on TV during the game,The reveal of Roboyto in the photo album,Dan Flashesback of the Coaches in the 70s,Kathy Bates as Mama Boucher,Lynn Swann,Kathy Bates as Mama Boucher,Mommy & Poppy Talk,,,,,,,
172,Fled,1996,118,Buddy Action Comedy,Z,Phobe,Phile,Phobe,18%,33,23%,5k +,41%,5%,$25 Mil,$17.193 Mil,Tubi,,Brett Rice,,,,"‘We gotta fled’ not once, but twice",,,Laurence Fishburne as Piper,Stephen Baldwin as Dodge,Will Patton as Gib,Convict,,,,,,,
173,The Ice Road,2021,119,Action Thriller,A,Phile,Phile,Phobe,43%,92,31%,500 +,74%,-12%,???,$4.9 Mil,Netflix,,Laurence Fishburne,,,,"Liam yelling at Gurty about the winch ""It’s not your disability. It’s your freaking attitude.""",Now it's personal.,Goldenrod’s Stretch Armstrong foot when he gets trapped,Marcus Thomas as Gurty,The Miners,Anyone saying Cload/Clode,Thank You For Your Service,,,,,,,
174,Event Horizon,1997,119,Science Fiction Horror,M,Phile,Phobe,Phobe,32%,87,61%,50k +,93%,29%,$60 Mil,$42 Mil,Para +,,Laurence Fishburne,Pockets Graham,Phile,Fishburne giving Mr. Justin instructions in the airlock,Fishburne giving Mr. Justin instructions in the airlock,Mr Justin saying he's coming! - Who? - The dark!,The production design of the Gravity Drive / Meat Grinder,Laurence Fishburne as Captain Miller,Jack Noseworthy as Mr. Justin,Captain Kilback’s Latin,Physics?,,,,,,,
175,Encino Man,1992,121,Comedy,Z,Phile,Phobe,Phile,15%,34,56%,100k +,71%,41%,$7 Mil,$40.7 Mil,$,,Jack Noseworthy,,,,"Dave awkward smile and wave at Robin, Matt leans over and shakes his head","Link drawing big breasted cave paintings like Dennis, Betty Nugs",Pauly Talk,Brendan Fraser as Link,Mariette Hartley as Mrs. Morgan,David Samson Driving Instructor,Horniness,,,,,,,
176,Don't Be A Menace to South Central While Drinking Your Juice in the Hood,1996,121,Comedy,A,Phile,Phile,Phile,32%,28,80%,50k +,112%,48%,$3.8 Mil,$20.1 Mil,BOOT / YouTube,,Jeffrey Anderson-Gunter,,,,Faizon Love panicking that he got Dashiki pregnant,Talk dirty to me - I'm coming!!,Bernie Mac's policeman monologue,Marlon Wayans as Loc Dog,Shawn Wayans as Ashtray,Driving Instructor White Voice,MESSAGE,,,,,,,
177,Bringing Down the House,2003,122,Romantic Comedy,M,Phobe,Phobe,Phile,34%,151,49%,250k +,83%,15%,$33 Mil,$164.7 Mil,Cinemax,4/10,Tracey Cherelle Jones,JuJu Gotti,Phile,Betty telling Georgey to change his Bingo haircut,,Joan Plowright singing a spiritual,,Betty White as Mrs. Kline,Angus T Jones as Georgey,Steve Martin at the Down Low,Racism!,,,,,,,
178,Almost Heroes,1998,122,Adventure Comedy Western,Z,Phobe,Phobe,Phobe,5%,39,64%,25k +,69%,59%,$30 Mil,$6.1 Mil,YouTube / Tubi,,Eugene Levy,,,,Eugene Levy doing the Matt Wilson lean in,Eugene Levy trying to say the word gauntlet,Triple elimination eagle egg bit,Eugene Levy as Guy Fontenot,Matthew Perry as Leslie Edwards,Eugene Levy as Guy Fontenot,19th Century Wench,,,,,,,
179,The Invention of Lying,2009,123,Romantic Comedy,A,Phile,Phile,Phobe,55%,188,39%,250k +,94%,-16%,$18.5 Mil,$32.7 Mil,$,,Christopher Guest,,,,Ed Norton Cahp Scene,Ricky trying to explain lying to Louis and PSH,Rob Lowe and Tina Fey shitting on Ricky when he gets fired - Fatty Fat Bingo,Jennifer Garner as Anna McDoogles,Conner Rayburn as Son,Edward Norton Boston Accent,Genetic Match,,,,,,,
180,Accepted,2006,124,Comedy,M,Phile,Spite Phobe,Phile,38%,117,72%,250k +,110%,34%,$23 Mil,$38.6 Mil,HBO,,Jonah Hill,,,,You look like Carly Simon!,"Jonah excited for his lilac shirts, visor and hair gel",Lewis Black yelling at the kid in the shoe store,Jonah Hill as Sherman Schrader,Adam Herschman as Glen,N/A,Fraud,,,,,,,
181,Grandma's Boy,2006,124,Stoner Comedy,Z,Phile,Phobe,Phile,15%,61,85%,100k +,100%,70%,$5 Mil,$6.6 Mil,$,,Jonah Hill,,,,Samantha falling over while drunkenly trying to lick her own tit during Karaoke ,My man in the background during Karaoke,"JP’s office, complete with binary code doors and monitor rig",Joel David Moore as JP,Allen Covert as Alex,JP Robot Voice,Product Placement,,,,,,,
182,You Don't Mess with the Zohan,2008,124,Satirical Action Comedy,A,Phile,Phile,Phile,37%,145,45%,250k +,82%,8%,$90 Mil,$204.3 Mil,$,0/10,Rob Schneider,,,,"Kevin Nealon kick, scream and run away",The Bees - Fighting in Mariah Carey's dressing room,Phantom’s Chewy Muchentuchen commercial,John Turturro as the Phantom,Chris Rock as Taxi Driver,Robert Smigel Israeli,Louis Pinnock,,,,,,,
183,Waiting…,2005,125,Independent Black Comedy,M,Phile,Phile,Phile,30%,93,75%,100k +,105%,45%,$3 Mil,$18.6 Mil,Hulu / Tubi,,Emmanuelle Chriqui,Chef Reactions,Phile,,"Luis setting up for the goat, noticing Mitch, doing the hooty owl, waiting in the cooler",Dane Cook problematic slave impression and the dude whipping him with the towel,Wendie Malick and Ryan Reynolds scene at the dinner table - with Justin looking awkward,Alanna Ubach as Naomi,Jordan Werner as Smooth Guy #1,Dane Cook problematic slave voice,Bingo,,,,,,,
184,Simon Sez,1999,125,Action,Z,Phobe,Phobe,Phobe,0%,20,16%,2500 +,16%,16%,$10 Mil,"$292,152",$,,Dane Cook,,,,Emma’s bedside sex button for strobe lighting and techno,The car parachuting off a cliff onto a greenscreen,"Dennis jumping backwards and sideways out a window onto a pole, sliding down it while shooting with both hands",Facepalming Statue in the cemetary,Dennis Rodman as Simon,Jerome Pradon as Ashton,Dane Cook's attempt at humor,,,,,,,
185,Hard Rain,1998,126,Disaster Heist Action,A,Phile,Phobe,Phobe,31%,45,34%,25k +,65%,3%,$70 Mil,$19.9 Mil,Pluto,,Ricky Harris,,,,"Guy in the theater in 1998 saying 'Oh My God, they killed Kenny!'",Ed Asner dying,"For 20 years, I’ve been eating shit. Breakfast, lunch and dinner.",Morgan Freeman as Jim,Peter Murnik as Phil,Minnie Driver as Karen,Slow Motion,,,,,,,
186,Street Kings,2008,127,Action Thriller,M,Phobe,Phile,Phile,36%,152,58%,100k +,94%,22%,$20 Mil,$66.5 Mil,$,8/10,Michael Monks,,,,Amin saying 'That's a story for the fellas' about Keanu's wife getting fucked to death,Keanu rewatching Terry Crews seizuring to death while getting riddled with bullets,Keanu insisting on drinking miniature airplane shooters,Forest Whitaker as Captain Ornery T Mustache,The Game as Grill,Hugh Laurie American,Bad Writing,,,,,,,
187,Fantastic Four: Rise of the Silver Surfer,2007,128,Superhero,Z,Phobe,Phobe,Phobe,37%,172,51%,250k +,88%,14%,$130 Mil,$301.9 Mil,Disney +,,Chris Evans,,,,The horniness of the girl in the Red Dress mesmerized by Reed’s expanding fingers,Rock Slide,Doom CGI blasting Hager to death,Kerry Washington as Alicia Masters,Ioan Gruffudd as Reed Richards,The Thing Brooklyn,Cold Feet,,,,,,,
188,The Bye Bye Man,2017,128,Supernatural Horror,A,Phobe,Phile,Phobe,18%,92,22%,5k +,40%,4%,$7.4 Mil,$29.9 Mil,Tubi,,Doug Jones,,,,The fish dick-sucking shower curtain,The doll they used for Kim getting smacked by the train,The fish dick-sucking shower curtain,Cleo King as Mrs. Watkins,Cressida Bonas as Sasha,Lucien Laviscount as John Henry,Cucking,,,,,,,
189,Men in Black II,2002,129,Science Fiction Action Comedy,M,Phobe,Phile,Phobe,38%,198,45%,250k +,83%,7%,$140 Mil,$441.8 Mil,HBO,1/10,Doug Jones,,,,She has palsy so she ends up putting a lot of cheese on,Lower your weapon - No *Deep Voice*,The worm drinking a martini using a bowflex,David Cross as Newton,Nick Cannon as MIB Autopsy Agent,Biz Markie Beat Boxing,J is for Jargon,,,,,,,
190,Congo,1995,131,Science Fiction Action Adventure,Z,Phile,Phile,Phile,20%,50,29%,50k +,49%,9%,$50 Mil,$152 Mil,Showtime,,Kevin Grevioux,,,,The Louis Pinnock-off between Tim Curry and Ernie Hudson by the plane where he almost calls him the n-word,"Guy at Berkeley - ADR Off Camera - Met this girl named Heather, she was totally dreamy",Amy the Gorilla drinking a green drop drink (martini) and smoking a cigarillo,Amy the Gorilla, Dylan Walsh as Dr. Peter Elliot,Tim Curry Romanian,The Myth of the Killer Ape,,,,,,,
191,Dukes of Hazzard,2005,131,Action Comedy Road,A,Phobe,Phobe,Phobe,14%,170,46%,250k +,60%,32%,$53 Mil,$109.8 Mil,AMC + / $,,Joe Don Baker,,,,"You lay one hand on them and I’m gonna shove an apple in your mouth and my foot up your ass - Well, you bring the mint jelly. We’ll make it a party.",Prisoner talking about Boss Hogg’s suit - Winner of the inaugural Kathy Bates background award,"Sheev in an Armadilla helmet with a bullhorn talking to the crowd, then they throw hot dogs at him",Burt Reynolds as Boss Hogg,Willie Nelson as Uncle Jesse,Seann William Scott - Southern,KFB - Kentucky Fried Banter,,,,,,,
192,Out Cold,2001,131,Comedy,M,Phobe,Phobe,Phile,8%,49,84%,25k +,92%,76%,$24 Mil,$14.8 Mil,$,,David Koechner,,,,Barry wheelchair reveal,"Barry offering pills, asks if it makes it bigger, then Lance off camera says 'That'd be nice'",Stumpy’s Eighties monologue,Lee Majors as John Majors Bingo,Jason London as Rick Rambis,Lee Majors Bingo,Majors Bingo,,,,,,,
193,The Toy,1982,133,Comedy,Z,Phobe,Phobe,Phobe,3%,30,53%,10k +,56%,50%,$17 Mil,$47.1 Mil,$,,Steve Kahan,Roy Bellamy,Phobe,A hand and arm guiding the Wonder Wheel from off camera,Amin getting emotional and crying at Tony Burton getting tickled,Oh my god they've come for the pajamas,6 grown businessmen unable to explain to a child why you can’t buy a person,Ned Beatty as Sydney Morehouse,Scott Schwartz as Master Bates,Ned Beatty 'No Jive',Racism,,,,,,,
194,"See No Evil, Hear No Evil",1989,138,Comedy,A,Phile,Phile,Phobe,27%,30,72%,25k +,99%,45%,$18 Mil,$46.9 Mil,HBO,,Richard Pryor,,,,"SHAZAM! CAN YOU HEAR ME!? - NO, SCHMUCK! I’M DEAF! NOW YOU GET IT???",Pryor pretending to not know that he was black on the subway,The Blind Gunfight,Gene Wilder as Dave,Bernie McInerney as Dr. Cornfeld,Richard Pryor Swedish,Misdirection,,,,,,,
195,Harlem Nights,1989,142,Crime Comedy Drama,M,Phile,Phobe,Phile,26%,38,80%,25k +,106%,54%,$30 Mil,$95 Mil,Pluto TV,,Richard Pryor,,,,Maracas Man,"Nipple Play - Written, Directed and Starring Eddie Murphy",Quick fighting Vera in the alley,Della Reese as Vera,Arsenio Hall crying,Stan Shaw’s Stutter and Lisp,Exposition,,,,,,,
196,Carbon Copy,1981,146,Comedy Drama,Z,Phile,Phile,Phobe,0%,1,38%,1k +,38%,38%,$6 Mil,$9.56 Mil,Tubi,,Carmen Filpi,,,,"Just stay in your room and read. If you can't read, draw pretty pretty pictures.","Flashback to Jack Warden giving him advice - ""That’s what makes man superior. He can love, forget, love again.""",The Basketball Game,George Segal as Walter Whitney,Edward Marshall as Freddie,Vivian speaking spanish,Racism,,,,,,,
197,Ed,1996,147,Sports Comedy,A,Phobe,Phobe,Phobe,6%,17,22%,5k +,28%,16%,$24 Mil,$4.42 Mil,Starz,,Jack Warden,,,,"Grinding to no music in front of stuffed ape that probably has a nanny cam in it, while you've left your kid with a chimpanzee so she can dress him up like your whore mother",Bitch what are you fucking talking about? - Lydia yelling at The Deuce about not rescuing Ed / not making her come,The Hairy Houdini of the Hot Corner,Bill Cobbs as Tipton,Matt LeBlanc as Jack ‘The Deuce’ Cooper,Rick Johnson as Kurt 'The Crush' Bunyon,Ayyyoooo,,,,,,,
198,Deep Blue Sea,1999,149,Science Fiction Horror,M,Phile,Phile,Phile,60%,115,39%,250k +,99%,-21%,$82 Mil,$165 Mil,Prime,,Valente Rodriguez,,,,Thomas Jane unknowingly giving us a nickname for the rest of the episode 'Dumb Old Carter',LL Cool J shivering in the cold water,LL Cobra Formula’s Einstein’s theory of relativity,LL Cool J as Preacher,Saffron Burrows as Dr. Susan McAlester,Frank Welker Parrot Noises,Bad Writing,,,,,,,
199,Amos & Andrew,1993,151,Buddy Action Comedy,Z,Phobe,Phobe,Phobe,17%,24,31%,5k +,48%,14%,$17 Mil,$9.7 Mil,Youtube,,Samuel L. Jackson,,,,Yo Brother Where Art Thou,The idea that Dabney didn't know how to use the bullhorn the entire movie,Discovering the sex toys and leather gear in the bedside table - White people,Dabney Coleman as Chief of Police Cecil Tolliver,Jeff Blumenkrantz as Ernie,Mayes Chappelle Voice,Racism,,,,,,,
200,Judge Dredd,1995,151,Superhero,BON,Phile,Phile,Phile,22%,54,30%,100k +,52%,8%,$90 Mil,$113.5 Mil,$,,---,Mike Ryan,Phile,You betrayed the law! - LAWWWWWWW,Armand not blinking for 1 hour 18 minutes of this movie,Don't Die - Fargo promptly dying like Joe Lo Truglio - Stallone staring at the big tittied Justice statue,"The map of the country - Megacity 1&2, Aspen and Texas City",Armand Assoffte as Rico,Jim Breuer Thug in Block War Scene,Ewen Brener as Junior Angel,LAWWWW,,,,,,,
201,Assassins,1995,182,Action Thriller,M,Phile,Phile,Phile,16%,49,45%,50k +,61%,29%,$50 Mil,$83.3 Mil,$,,Sylvester Stallone,,,,Iconic Banderas Reaction Gif,,,Antonio Banderas as Miguel Bain,Jen & Bob Arguing Couple,Antonio pretending to speak spanish poorly,Silencers,,,,,,,
202,Timeline,2003,116,Science Fiction Adventure,A,Phobe,Phobe,Phobe,13%,141,45%,50k +,58%,32%,$80 Mil,$43.9 Mil,Cinemax,,Richard Donner,,,,Dumb Old Walker’s Slide Tackle,,,Michael Sheen as Lord Oliver,Dumb Old Paul Walker as Chris Johnson,Anna Thiel franglish accent - Lady Claire,Poppytalk,,,,,,,
203,Paul Blart: Mall Cop 2,2015,94,Action Comedy,Z,Phobe,Phobe,Phobe,6%,63,33%,25k +,39%,27%,$30 Mil,$107.6 Mil,Pluto TV,,Neal McDonough,,,,"""I think Maya’s just seen her future."" - Kevin James in a wig","It's depressing, like Idaho, I would just fire up the Sarah McLachlan",Crane fight and 'The Shadowman' pianist,Ana Gasteyer as Mrs. Gundermutt,Abuela Mija,Blart imitating Henk’s dutch accent,Fatlly Falling,,,,,,,
204,Escape from L.A.,1996,101,Post-Apocalyptic Action,M,Phile,Phobe,Phile,54%,59,39%,50k +,93%,-15%,$50 Mil,$25.5 Mil,Cinemax,,Shelly Desai,,,,How is he hangliding in the air circling for so long?,Cuervo Jones smirking at the bitch wife on the phone,Surfing through Wilshire Canyon scene,Steve Buscemi as Map to the Stars Eddie,A.J. Langer as Utopia,Peter Fonda Surfer Bro,CGI & Green Screen,,,,,,,
205,Ghosts of Mars,2001,115,Space Western Action Horror,A,Phobe,Phobe,Phobe,24%,110,25%,25k +,49%,1%,$28 Mil,$14 Mil,$,,John Carpenter,,,,"That worked, Jericho? - After his closing the door plan works and he kisses Natasha",Big Daddy Mars 'Speaking Martian Language' caption as he yells at the crowd,Clea Duvall decapitated by a frisbee saw,Jason Statham as Jericho Butler,The Train,Duane Davis mocking Statham’s accent,Flashbacks within Flashbacks,,,,,,,
206,Universal Soldier,1992,104,Action Sci-Fi,Z,Phile,Phile,Phile,34%,35,46%,50K +,80%,12%,$23 Mil,$36 Mil,Para +,,Duane Davis,,,,Roundhouse kicks,Throwing the Grenade at Ronny hitting between the numbers and going woohoo,JCVD learning how to eat,Dolph Lundgren as Andrew Scott GR13,Lt. Ass On,Dolph with American Accent,JCVD PTSD,,,,,,,
